name;lat;long
Lekki, NG;3.58773389218748;6.44952617548687
Ikire, NG;4.2124;7.3875
Accra, GH;-0.090984;5.80399
Nairobi, KE - Cabanas | Mega;36.88643;-1.329119
Nairobi, KE - Karen | Mega;36.750317;-1.3502338
Lobatse, BW;25.67;-25.241
Matola, MZ | Mega;32.414874;-25.920933
Gaborone, BW | Mega;25.911362;-24.587645
Akita, JP;140.06466;39.63828
Hitachinaka, JP;140.61372;36.38673
Otaru, JP;141.258373;43.173215
Yamaguchi, JP;131.55566;34.2171
Suva, FJ;178.46767;-18.12915
Awarua, NZ;168.383076;-46.530531
Cromwell, NZ;169.192756;-45.061066
Hinds, NZ;171.571735;-44.007406
Cleavdon, NZ;175.05544;-36.9897
Te Hana, NZ;174.51211;-36.23673
Puwera, NZ;174.30075;-35.7935
Willows. QLD, AU;147.5025;-23.66665
Pimba, SA, AU (GSN#3023);136.80107;-31.2507
Boorowa, NSW, AU (GSN#55);148.70558;-34.46214
Merredin, WA, AU;118.27765;-31.49485
Cataby, WA, AU;115.61927;-30.84826
Ki Ki, SA, AU;139.8174;-35.57172
Torrumbarry, VIC, AU;144.50011;-36.02526
Springbrook Creek, NSW, AU;149.68385;-30.43981
Bulla Bulling, WA, AU;120.81962;-31.02985
Warra, QLD, AU;150.8916042;-26.9079883
Sellheim, QLD, AU;146.42166;-19.999722
Angeles, PH;120.505747;15.17087
Anakie, VIC, AU;144.328172;-37.953169
Koonwarra, VIC, AU;145.95145;-38.51812
Singapore, SG;103.83539;1.397598
Broken Hill, NSW, AU (GSN#56);141.4411;-31.99829
Petra Jaya, MY;110.340002;1.606503
Cikarang Barat, ID - Almat GW | Mega;107.096755;-6.306293
Palangka Raya, ID;113.925406;-2.21866
Macquarie Park, NSW, AU | Mega;151.131806;-33.785441
Nueva Vizcaya (Province), PH;121.114;16.423
Quezon (province), PH;121.699;13.953
Elkton, MD | Mega;-75.9096542;39.6308745
Llano Grande, MX;-99.58115;19.25892
Tapachula, MX;-92.36717;14.7862
Merida, MX;-89.643944;21.007372
Peñuelas, MX;-102.27531;21.73139
Charcas, MX;-100.97915;23.22612
Mazahua, MX;-94.96423;16.60965
Marathon, ON, CA (GSN-19);-86.3745279;48.7253692
Sambro Creek, NS, CA (GSN-21);-63.6131209;44.4645332
West Jordan, UT;-111.9860556;40.6196667
Willemstad, CW;-68.908109;12.097686
Oistins, BB;-59.537583;13.062759
Centennial, CO - The Centennial GW,;-104.846944;39.591889
Atlanta, GA - The Hotlanta GW;-84.424639;33.733472
Los Angeles, CA - Anotha One' in GW;-118.318444;33.924306
Pott’s Junction, GU - The Katu Gato Community GW;144.858722;13.616361
San Jose, CA - The Walsh GW;-121.969167;37.370444
Thomaston, GA - The Blitz GW;-84.261806;32.947083
Virginia Beach, VA - The Lil b GW;-76.009278;36.783806
Fremont, CA - The Plaid Mode GW;-121.936722;37.492056
Queretaro, MX | Mega;-100.273996;20.57346
Brewster, WA - TT&C (BR1);-119.701138888889;48.1486111111111
Itaboraí, BR;-42.87279;-22.69668
João Câmara, BR;-35.81701;-5.54612
Luz, BR;-45.68113;-19.80334
Montes Carlos, BR;-43.83329;-16.68367
Mossoró, BR;-37.35373;-5.15695
Passa Quatro, BR;-44.94544;-22.34929
Porto Alegre, BR;-51.12088;-29.9842
Presidente Prudente, BR;-51.47411;-22.1461
Rio Negro, BR;-49.79286;-26.08857
Santana de Parnaíba, BR;-46.94226;-23.45641
Surubim, BR;-35.78008;-7.85393
Uruguaiana, BR;-56.52698;-29.76549
Manaus, BR;-59.99778;-2.92674
Aracaju, BR;-37.146714;-11.081214
Rio de Janeiro, BR;-43.3511917;-22.8110167
Osasco, BR | Mega;-46.775014;-23.490533
Fortaleza, BR | Mega;-38.461675;-3.735322
Juazeiro do Norte. BR;-39.3367222;-7.2151194
Nova Santa Rita, BR;-51.2845;-29.8428556
Puerto Montt, CL;-73.02337;-41.48657
Puerto Saavedra, CL;-73.39724;-38.81476
San Clemente, CL;-71.3569;-35.55593
Santa Elena, CL;-71.2582;-29.99974
Caldera, CL;-70.78797;-27.02
Noviciado, CL;-70.88325;-33.39272
Punta Arenas, CL;-70.85045;-52.93974
Willemstad, CW;-68.908109;12.097686
Bogota, CO (unknown location);-74.253263;4.526802
Lima, PE (unknown location);-77.042;-12.148
Falda del Carmen (Cordoba), AR;-64.461;-31.52249
Unalaska, AK, US;-166.5048611;53.8602778
Iqualuit, NU, CA;-68.53968;63.75817
Nauru, NR;166.91773;-0.52913
Cape Canaveral, FL, US - The Full Send GW;-80.6666377;28.5434208
Brucejack, BC, CA;-130.186728;56.465761
Lihir, PG;152.653;-3.106
Kuujjuaq, QC, CA;-68.3958043;58.1097412
Krosrae, Micronesia;163.0169;5.3302
Kigali, RW;30.096;-1.938
Blue City, OM;57.809288;23.744798
Umm Qarn, QA | Mega;51.439281;25.551788
Ballinspittle, IE;-8.58805;51.64498
Elfordstown, IE;-8.17416;51.9532
Isle of Man, UK;-4.49728;54.13909
Goonhilly, UK;-5.18143;50.04964
Chalfont Grove, UK;-0.57577;51.61549
Morn Hill, UK;-1.263883;51.060168
Fawley, UK;-1.337705;50.823297
Villenave d’Ornon, FR;-0.53738;44.78096
Lepe, ES;-7.236135;37.255557
Ibi, ES;-0.6007;38.60842
Marsala, IT;12.493115;37.794324
Foggia, IT;15.658572;41.432803
Milano, IT;9.187329;45.318522
Frankfurt, DE;8.47082;50.3298
Aerzen, DE;9.328231;52.060989
Wola Krobowska, PL;20.92105;51.86417
Kaunas, LT;24.01;54.87
Muallim, TR;29.50939;40.78875
Covilha, PT;-7.478251;40.265294
Hoofddorp, NL (GSN#105);4.686589;52.290758
Plana, BG;23.44491;42.482909
Milan, IT | Mega;9.038742;45.475003
Stolnik, BG | Mega;23.616678;42.72231
Sofia, BG;23.383992;42.67197
Loeches (Madrid), ES | Mega;-3.405882;40.400965
Santa Olalla, ES;-4.467699;40.025428
